,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
587,Portals to Hell,Portals to Hell,88819,[10764],2019-04-26,6.507,7.588,17,en,False
588,The Originals: The Awakening,The Originals: The Awakening,255529,[],2014-11-14,6.497,0.0,0,en,False
589,Yukon Men,Yukon Men,59117,"[10764, 99]",2012-08-24,6.442,5.3,8,en,False
590,Nightmare Next Door,Nightmare Next Door,38534,"[80, 99]",2011-01-06,6.436,7.5,10,en,False
591,How to Create a Sex Scandal,How to Create a Sex Scandal,226403,"[99, 80]",2023-05-23,6.389,6.7,7,en,False
592,"Murder in Boston: Roots, Rampage & Reckoning","Murder in Boston: Roots, Rampage & Reckoning",238986,"[99, 80]",2023-12-04,6.372,6.7,3,en,False
593,Doubling Down with the Derricos,Doubling Down with the Derricos,108280,[10764],2020-08-11,6.37,9.5,4,en,False
594,The Tetris Murders,The Tetris Murders,214646,"[99, 80]",2022-12-05,6.362,6.3,11,en,False
595,MaPa,MaPa,105702,[18],2020-04-15,6.319,6.8,17,de,False
596,Bargain Block,Bargain Block,124386,[10764],2021-04-14,6.318,9.5,2,en,False
597,Oh Hell,Oh Hell,135387,"[18, 35]",2022-03-17,6.287,4.8,8,de,False
598,Edge of Alaska,Edge of Alaska,63462,[10764],2014-10-24,6.286,6.9,8,en,False
599,Deadly Affairs,Deadly Affairs,47044,"[99, 80]",2012-09-08,6.234,5.2,4,en,False
600,Horror at the Cecil Hotel,Horror at the Cecil Hotel,83131,"[80, 99]",2017-10-16,6.176,7.2,177,en,False
